CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-97-0,"1,3,5,7-Tetraazatricyclo[3.3.1.13.7]decane; Hexamethylenetetramine",Flammable solids,Category 2,,,,"The substance is classified as flammable, and its powder or granules, when mixed with the air, may cause dust explosion according to ICSC (2004). Classified into Division 4.1 and Packing Group III (UN#1328) (UN Recommendations on the Transport of Dangerous Goods).","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
102-54-5,ferrocene,Flammable solids,Classification not possible   ,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10605-21-7,carbendazim(ISO),Flammable solids,,,,,0.0,2008.03.26
110-71-4,"1,2-dimethoxyethane",Flammable solids,,,,,0.0,2008.03.17
110-88-3,"1,3,5-trioxan",Flammable solids,,,,,0.0,2008.03.26
111-77-3,2-(2-methoxyethoxy)ethanol,Flammable solids,,,,,0.0,2008.03.26
111-96-6,bis(2-methoxyethyl)ether,Flammable solids,,,,,0.0,2008.03.26
123-39-7,N-methylformamide,Flammable solids,,,,,0.0,2008.03.24
1319-77-3,Cresol,Flammable solids,Not applicable (m-cresol)           Not classified (o- and p-cresol),,,,"Classified as ""liquid"" (m-cresol), according to GHS criteria. Classified into Division 6.1 and Class 8 (UN Recommendations on the Transport of Dangerous Goods, UN#2076 and 3455) (o- and p-cresol).","Mar. 23, 2006 (Environmental Hazards: May 24, 2006)"
1322-98-1,Sodium decylbenzenesulfonate (C10),Flammable solids,Classification not possible (solid),,,,No data available ,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1331-61-9,Ammonium dodecylbenzenesulphonate (C12),Flammable solids,Classification not possible (solid),,,,No data available ,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1333-86-4,Carbon black,Flammable solids,"Not classified(Materials of animal or vegetable origin), Classification not possible(Materials of mineral origin)",-,-,-,"It is based on Animal-and-plant materials: the UN number 1361 (CARBON, animal or vegetable origin, Class4.2, Packing Group IIorIII).
Mineral materials: No data.  ","Jun. 20, 2006"
1344-40-7,Lead phosphite dibasic,Flammable solids,Category 1,Flame,"Danger
",Flammable solid,"UNRTDG is classified into 4.1, II, or III according to the UNRTDG No. (2989). In consideration of safety, it was classified as Category 1 adopting 4.1 and II.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
14275-57-1,"(Z)-5,5,12,12-Tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadec-8-ene",Flammable solids,Classification not possible (solid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
143860-04-2,"3-ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine",Flammable solids,,,,,0.0,2008.02.25
151-21-3,Sodium dodecan-1-yl sulfate,Flammable solids,Category 2,Flame,Warning,Flammable solids,"Since it was classified into Class 4.1 and PG III in the United Nations Recommendations on the Transport of Dangerous Goods, it was classified into Category 2. 
In addition, this TDG classification is based on the UN number 1325 by Merck KGaA data from March 2009. ",2009.3.31
17702-41-9,decaborane(14),Flammable solids,Category 1,Flame,"Danger
",Flammable solid,UNRTDG Class: 4.1; PG II,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
2155-70-6,Tributyl(methacryloyloxy)stannane,Flammable solids,Classification not possible (solid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
2210-79-9,"2,3-epoxypropyl o-tolyl ether",Flammable solids,,,,,0.0,2008.03.21
25167-80-0,chlorophenol,Flammable solids,"Not applicable (o-) 
Classification not possible (m, p-)",-,-,-,"Liquid (GHS definition) (o-)  No data available (m, p-)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
25496-01-9,Tridecylbenzenesulphonic acid (C13),Flammable solids,Not classified (solid),,,,Classified into Class 8 (UN#2585 Alkyl sulfonic acids (solid) or Aryl sulfonic acids (solid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
26239-64-5,"[1R-(1alpha,4abeta,4balpha,10aalpha)]-Tributyl[[[1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a-dimethyl-1-phenanthryl]carbonyl]oxy]stannane",Flammable solids,Classification not possible (solid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
27176-87-0,Dodecylbenzenesulphonic acid (C12),Flammable solids,Not classified (solid),,,,Classified into Class 8 (UN#2585 Alkyl sulfonic acids (solid) or Aryl sulfonic acids (solid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
27636-75-5,Sodium undecylbenzenesulfonate (C11),Flammable solids,Classification not possible (solid),,,,No data available ,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
288-88-0,"1,2,4-triazole",Flammable solids,,,,,0.0,2008.03.26
30525-89-4,Paraformaldehyde,Flammable solids,Category 2,Flame,Warning,Flammable solid,UNRTDG Class: 4.1; PG III,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
30776-59-1,Tetradecylbenzenesulphonic acid (C14),Flammable solids,Not classified (solid),,,,Classified into Class 8 (UN#2585 Alkyl sulfonic acids (solid) or Aryl sulfonic acids (solid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
3090-36-6,Tributyl(lauroyloxy)stannane,Flammable solids,Classification not possible (solid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
31093-47-7,Decylbenzenesulfonic acid (C10),Flammable solids,Not classified (solid),,,,Classified into Class 8 (UN#2585 Alkyl sulfonic acids (solid) or Aryl sulfonic acids (solid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
31732-71-5,"(R*,S*)-8,9-Dibromo-5,5,12,12-tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadecane",Flammable solids,Classification not possible (solid),,,,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
4782-29-0,[(Phthaloylbis(oxy)]bis(tributylstannane),Flammable solids,Classification not possible (solid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
50854-94-9,Undecylbenzenesulfonic acid (C11),Flammable solids,Not classified (solid),,,,Classified into Class 8 (UN#2585 Alkyl sulfonic acids (solid) or Aryl sulfonic acids (solid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
